Configuration,Max Readings,Crossover Point,Standard Time (max),Nova Time (max),Standard Size (max),Nova Size (max)
"CPU: 0.5 cores, RAM: 1.0GB",1000,Not reached,40.20s,97.69s,832.7KB,69.1KB
"CPU: 0.5 cores, RAM: 1.0GB",500,400,45.54s,32.93s,416.5KB,69.2KB
"CPU: 1.0 cores, RAM: 2.0GB",500,Not reached,21.59s,55.18s,416.5KB,69.1KB
"CPU: 1.0 cores, RAM: 4.0GB",500,Not reached,20.13s,54.83s,416.5KB,69.1KB
"CPU: 1.0 cores, RAM: 8.0GB",500,Not reached,19.43s,55.72s,416.5KB,69.1KB
"CPU: 2.0 cores, RAM: 2.0GB",500,Not reached,17.09s,31.79s,416.5KB,69.1KB
"CPU: 4.0 cores, RAM: 2.0GB",1500,700,52.55s,43.13s,1249.5KB,69.1KB
"CPU: 4.0 cores, RAM: 2.0GB",1500,400,52.35s,20.03s,1249.5KB,69.1KB
"CPU: 4.0 cores, RAM: 2.0GB",500,300,17.56s,11.04s,416.5KB,69.1KB
"CPU: 0.5 cores, RAM: 1.0GB",500,500,46.03s,41.45s,416.5KB,69.1KB
