IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.79,83.3,10.79,69.2,0.35x,1.20x,Standard
200,6.74,166.6,14.00,69.2,0.48x,2.41x,Standard
300,11.33,249.9,14.66,69.2,0.77x,3.61x,Standard
400,15.10,333.2,17.16,69.1,0.88x,4.82x,Standard
500,18.01,416.5,20.30,69.1,0.89x,6.02x,Standard
600,21.84,499.8,21.88,69.1,1.00x,7.23x,Standard
700,24.68,583.1,24.21,69.2,1.02x,8.43x,Nova
800,28.40,666.4,26.47,69.2,1.07x,9.63x,Nova
900,31.40,749.7,28.90,69.2,1.09x,10.84x,Nova
1000,35.77,833.0,31.29,69.1,1.14x,12.05x,Nova
1100,38.86,916.3,33.55,69.2,1.16x,13.25x,Nova
1200,42.47,999.6,35.19,69.2,1.21x,14.45x,Nova
1300,46.69,1082.9,36.97,69.1,1.26x,15.67x,Nova
1400,49.59,1166.2,40.25,69.1,1.23x,16.87x,Nova
1500,52.55,1249.5,43.13,69.1,1.22x,18.08x,Nova
